company_name,description,current_stage,partners,founders,sectors,first_partnered_stage,first_partnered_year,first_partnered_date,initial_investment_type,exit_type,exit_description,company_profile_url,company_url,twitter_url,logo_url,image_url,source_url,scraped_at
AdMob,Mobile advertising solutions for app developers,,Rich Wong,Omar Hamoui,,,2007,2007,,Acquired,by Google,https://www.accel.com/companies/admob,http://www.admob.com,,https://cdn.sanity.io/images/458oembh/production/1f451159c4123e5f2033417e91ba9bacad966e54-849x250.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
AdRoll,Marking platform for e-commerce businesses,Early Stage,,Toby Gabriner (CEO); Aaron Bell; Adam Berke; Valentino Volonghi; Peter Krivkovich,,Early Stage,2008,2008,series-a,,,https://www.accel.com/companies/adroll,http://www.adroll.com,https://twitter.com/AdRoll,https://cdn.sanity.io/images/458oembh/production/500a5832ee5b3adc47c56a5123c87029844fcced-268x50.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ada Support,AI-powered customer service automation,Late Stage,Ben Fletcher,Mike Murchison; David Hariri,,Late Stage,2020,2020,,,,https://www.accel.com/companies/ada-support,https://www.ada.cx/,https://twitter.com/ada_cx/,https://cdn.sanity.io/images/458oembh/production/64ea150a7c66e7e4b32f20575af9ca02826ce4e9-108x36.svg,https://cdn.sanity.io/images/458oembh/production/2388fa3983c2406209b213870c33d6aed5d26ab7-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
AegisAI,Agentic AI for email security,Early Stage,Eric Wolford,Cy Khormaee; Ryan Luo,,Early Stage,2025,2025,seed,,,https://www.accel.com/companies/aegisai,https://www.aegisai.ai/,,https://cdn.sanity.io/images/458oembh/production/38e005ccf4c488c0df8cba6d3392903d0d168924-29888x8299.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Agave,API to access data across all construction systems,Early Stage,Vas Natarajan,Tom Reno; John Zucchi; Pooria Azimi; Samantha Zhang,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/agave,https://www.agaveapi.com/,https://twitter.com/useagave,https://cdn.sanity.io/images/458oembh/production/579f733dbbd55e063485afbfb54740bb9f51482f-3065x827.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Agile Software,Product lifecycle management (PLM) software solutions,,,,,,1997,1997,,IPO,NASDAQ: AGIL,https://www.accel.com/companies/agile-software,http://www.agilesoft.com,,https://cdn.sanity.io/images/458oembh/production/d6c43b7cb52ec2bdb1405e22974d2290d5597db0-171x126.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Agrostar,eCommerce platform for agricultural products,Early Stage,Prashanth Prakash,Sitanshu Sheth; Shardul Sheth,,Early Stage,2017,2017,,,,https://www.accel.com/companies/agrostar,http://corporate.agrostar.in,,https://cdn.sanity.io/images/458oembh/production/251203dadfe44d11f70646b014ddfa06a49dbecb-852x225.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
AirKit,Customer-led automation platform,Early Stage,Steve Loughlin,Stephen Ehikian; Adam Evans,,Early Stage,2017,2017,seed,Acquired,by Salesforce,https://www.accel.com/companies/airkit,http://www.airkit.com,https://twitter.com/airkitcx,https://cdn.sanity.io/images/458oembh/production/0778fadd88563c2ad0dc8ed9cfebc30c5caaace2-1344x294.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
AirWatch,"Mobile device, application, and content management for enterprises",Early Stage,Rich Wong; Ryan Sweeney,John Marshall,,Early Stage,2013,2013,series-a,Acquired,by VMWare,https://www.accel.com/companies/airwatch,,,https://cdn.sanity.io/images/458oembh/production/96d7079ab3ead74aa984688d9b931f4666408db7-505x230.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Airbyte,Open-source data integration engine,Early Stage,Amit Kumar,Michel Tricot; John Lafleur,,Early Stage,2021,2021,seed,,,https://www.accel.com/companies/airbyte,https://airbyte.io/,,https://cdn.sanity.io/images/458oembh/production/241f06e82ba26dcf62f00ecba8aa7fa30a3bb1e1-247x67.svg,https://cdn.sanity.io/images/458oembh/production/0fd01191a166caa26aff34128db87edbb3a4f319-1006x1006.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Airmeet,"Online, interactive event-hosting platform",Early Stage,Subrata Mitra,Lalit Mangal; Vinay Jaasti; Manoj Singh,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/airmeet,http://www.airmeet.com,https://twitter.com/airmeet_com,https://cdn.sanity.io/images/458oembh/production/841f61b5c28334a0718d58c0e6f1e359c3584583-802x193.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Akridata,AI information solutions for Autonomous Vehicles,Early Stage,Dinesh Katiyar,Kumar Ganapathy; Vijay Karamcheti,,Early Stage,2018,2018,seed,,,https://www.accel.com/companies/akridata,https://www.akridata.com/,,https://cdn.sanity.io/images/458oembh/production/5a3a51a6815b918fb31fa406698aebc8b5a9951b-136x32.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Akto,Plug and play API security,Early Stage,Prayank Swaroop,Ankita Gupta; Ankush Jain,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/akto,https://www.akto.io/,https://twitter.com/Aktodotio,https://cdn.sanity.io/images/458oembh/production/5d07fd6552103047eccb8f3811d76f9381f3a25b-1255x404.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Algolia,End-to-end AI search,Early Stage,John Locke; Nate Niparko,Bernadette Nixon (CEO); Nicolas Dessaigne; Julien Lemoine,,Early Stage,2015,2015,series-a,,,https://www.accel.com/companies/algolia,http://www.algolia.com,https://twitter.com/algolia,https://cdn.sanity.io/images/458oembh/production/c9a6fbb8a963c20cfc688945159dbec5716da96b-1502x342.svg,https://cdn.sanity.io/images/458oembh/production/e348caa31ea31dd4feb470d7706f7326e14afe59-900x900.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ally,Goal-planning and execution management software for teams,Early Stage,Abhinav Chaturvedi,Vetri Vellore,,Early Stage,2019,2019,series-a,Acquired,by Microsoft,https://www.accel.com/companies/ally,http://www.ally.io,https://twitter.com/gotoally,https://cdn.sanity.io/images/458oembh/production/04acaf91b72fe12c6ec2d1b91912318a58cbc198-150x48.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Alpha Technologies,"Solutions for communication, commercial, industrial and renewable energy markets",,Arthur Patterson,Fred Kaiser; Grace Borsari,,,1983,1983,,IPO,NASDAQ: AHAG,https://www.accel.com/companies/alpha-technologies,https://www.alpha.com/,,https://cdn.sanity.io/images/458oembh/production/e3b75893e2f173ec8d8b1a12b9f9bac2f01e8470-341x191.svg,https://cdn.sanity.io/images/458oembh/production/77e6593c7ad2dabb5aada0d9b5ef2a653192b3de-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Altinity,Software and service provider for ClickHouse – an open-source data warehouse,Early Stage,Daniel Levine,Robert Hodges (CEO); Mindaugas Zukas; Alexander Zaitsev,,Early Stage,2020,2020,seed,,,https://www.accel.com/companies/altinity,https://altinity.com/,https://twitter.com/AltinityDB,https://cdn.sanity.io/images/458oembh/production/69c0e7faf624da8510df254ec53dc4c902d45670-447x106.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Amagi,Targeted advertising and cloud-based broadcast solution,Late Stage,Shekhar Kirani; Nate Niparko,Baskar Subramanian; KA Srinivasan (Srini); Srividhya Srinivasan,,Late Stage,2021,2021,,,,https://www.accel.com/companies/amagi,https://www.amagi.com/,,https://cdn.sanity.io/images/458oembh/production/04a6a171cd8067c4f4d69bbab13d9a1b750701b9-147x39.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Amino,Healthcare financial wellness program for employees,,,David Vivero; Roger Billerey-Mosier; Maudie Shah; Sumul Shah,,,,,,,,https://www.accel.com/companies/amino,http://www.amino.com,https://twitter.com/AminoHealth,https://cdn.sanity.io/images/458oembh/production/375e566cec5b4771250976b81afef31b231003ec-232x52.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Amitree,AI-powered email organization service for realtors,Early Stage,Bruce Golden,Jonathan Aizen; Paul Knegten,,Early Stage,2015,2015,seed,,,https://www.accel.com/companies/amitree-2,https://www.home.amitree.com/,https://twitter.com/amitreeinc,https://cdn.sanity.io/images/458oembh/production/eb55a72cf633536bf2d14e15ae3ae68d9eabca6a-1319x679.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Amobee,Mobile advertising platform,Early Stage,Bruce Golden,Trevor Healy; Zohar Levkovitz,,Early Stage,2005,2005,series-a,Acquired,by Singtel,https://www.accel.com/companies/amobee,https://www.amobee.com/,,https://cdn.sanity.io/images/458oembh/production/f921622fd14af224373eda87c22f73462586fe90-1297x237.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ampool,Analytics tool for data engineers and business analytics Acquired by HPE,Early Stage,Dinesh Katiyar,Milind Bhandarkar,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/ampool,http://www.ampool-inc.com,https://twitter.com/ampoolio,https://cdn.sanity.io/images/458oembh/production/c3ec0a309f0e8e68e9b473505e7f1a2265ca0d32-1817x534.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Anar,B2B business network for SMBs,Early Stage,Prayank Swaroop,Nishank Jain; Sanjay Bhat,,Early Stage,2021,2021,seed,,,https://www.accel.com/companies/anar,https://anar.biz/,,https://cdn.sanity.io/images/458oembh/production/66748c899ef69eb7c3607e7bddfe84b5bd32e698-961x456.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Anchor FM,"Podcast recording, producing, and hosting app for amateurs and pros",Early Stage,Andrew Braccia,Michael Mignano; Nir Zicherman,,Early Stage,2016,2016,seed,Acquired,by Spotify,https://www.accel.com/companies/anchor-fm,http://www.anchor.fm,https://twitter.com/anchor,https://cdn.sanity.io/images/458oembh/production/99ea5e65ad62e36e5434cfeec39e3bace5429e0c-1821x352.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ando,Business messaging platform for collaboration between people and AI agents ‍,Early Stage,,Sara Du,,Early Stage,2025,2025,seed,,,https://www.accel.com/companies/ando,https://ando.so/,https://x.com/andocorporation,https://cdn.sanity.io/images/458oembh/production/9ef08a821bc89b3b6c243830792567ea6adf22a6-804x260.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Anthropic,AI safety and research company,Late Stage,Sameer Gandhi; Arun Mathew,Dario Amodei; Daniela Amodei; Jack Clark; Tom Brown; Sam McCandlish; Jared Kaplan; Christopher Olah,,Late Stage,2025,2025,,,,https://www.accel.com/companies/anthropic,https://www.anthropic.com/,https://x.com/AnthropicAI,https://cdn.sanity.io/images/458oembh/production/5f93664998a8e33b5e3f44eb2c6f62788c0073ba-1200x135.png,https://cdn.sanity.io/images/458oembh/production/0f0f883a98cdddd2f831a8ec9c4dc6ce22f95730-1350x900.webp,https://www.accel.com/companies,2026-05-29T18:35:24Z
Anyfin,Financial services for refinancing debt,Early Stage,Ben Dooley,Mikael Hussain; Sven Perkmann; Filip Polhem,,Early Stage,2018,2018,series-a,,,https://www.accel.com/companies/anyfin,http://www.anyfin.com,https://twitter.com/anyfin_com,https://cdn.sanity.io/images/458oembh/production/70f6be81feb24b32f917a94b4a19e4f825372917-2670x641.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Aorato,Enterprise security solutions for Active Directory protection,,Kevin Comolli,Michael Dolinsky; Idan Plotnik; Ohad Plotnik,,,2014,2014,,Acquired,by Microsoft,https://www.accel.com/companies/aorato,http://www.microsoft.com,,https://cdn.sanity.io/images/458oembh/production/b3a5ec6ad47be8a5c5c0ae0b6346b149f0287fee-1739x298.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
ApnaMart,Asset light retail chain,Early Stage,Anand Daniel,Abhishek Singh; Chetan Kumar Garg,,Early Stage,2023,2023,series-a,,,https://www.accel.com/companies/apnamart,https://apnamart.in/,,https://cdn.sanity.io/images/458oembh/production/564db8ab456417b1d0622f6048ec5360e3bbb6f5-4013x358.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Appbrew,Online mobile app building platform,Early Stage,Pratik Agarwal,Abhijeet Singh; Sharat Chandra; Mayank Agarwal,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/appbrew,https://appbrew.tech/,https://twitter.com/AppbrewInc,https://cdn.sanity.io/images/458oembh/production/9a5237caeccd394928b605fb8555d34f833f7f15-286x64.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Appsmith,Open-source low code tool,Early Stage,Shekhar Kirani,Nikhil Nandagopal; Arpit Mohan,,Early Stage,2021,2021,series-a,,,https://www.accel.com/companies/appsmith,https://www.appsmith.com/,,https://cdn.sanity.io/images/458oembh/production/e224f621185aa1e45c92903f6c4c4433b6e7690b-1175x195.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Aptly,CRM and Workflow Management for Property Teams,Early Stage,Ping Li,Sina Shekou (CEO),,Early Stage,2017,2017,seed,,,https://www.accel.com/companies/aptly,http://getaptly.com,,https://cdn.sanity.io/images/458oembh/production/12bf0144af947b49e3ed8024a63d32de39b67aaf-343x91.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Aramya,House of fashion brands powered by a tech-enabled supply chain — starting with women’s ethnic wear,Early Stage,Manasi Shah; Subrata Mitra,Ankush Goyal,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/aramya,https://aramya.in/,,https://cdn.sanity.io/images/458oembh/production/00cc9b79c37eee6c2fab78c96b6470695f16cc02-360x120.webp,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Arbor Software,Enterprise business intelligence and OLAP solutions,,,,,,,,,IPO,NASDAQ: ARSW,https://www.accel.com/companies/arbor-software,,,https://cdn.sanity.io/images/458oembh/production/bea62711f060f52875880a1c90fbc0e643d7ea68-2291x428.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Arcot Systems,Digital authentication and fraud prevention solutions,,Arthur Patterson,Ram Varadarajan,,,1999,1999,,Acquired,by CA Technologies,https://www.accel.com/companies/arcot-systems,,,https://cdn.sanity.io/images/458oembh/production/35e1a72a30733bf75700747b95d678d10eaaa784-867x192.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Arista,"Software-driven, cognitive cloud networking for large-scale data centers and campus environments",Late Stage,Ping Li,Andy Bechtolsheim; Ken Duda; Jayshree Ullal (CEO),,Late Stage,2012,2012,,IPO,NYSE: ANET,https://www.accel.com/companies/arista,http://www.arista.com,https://twitter.com/AristaNetworks,https://cdn.sanity.io/images/458oembh/production/986291e76868399a25dd7e6ba57aac97fc0d1654-2560x1080.svg,https://cdn.sanity.io/images/458oembh/production/6757a7257dcf0ae8a56c9359e915c900e1b34fa9-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Arivihan,AI-powered learning platform,Early Stage,Anagh Prasad,Ritesh Singh Chandel; Sonu Kumar; Rushabh Kothari,,Early Stage,2024,2024,series-a,,,https://www.accel.com/companies/arivihan,https://arivihan.com/about,,https://cdn.sanity.io/images/458oembh/production/67969215ec18529e50b470eee0fdd1242370a23c-945x264.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Armadin,AI-native cybersecurity platform,Early Stage,Ping Li,Kevin Mandia; Travis Lanham,,Early Stage,2025,2025,series-a,,,https://www.accel.com/companies/armadin,https://www.armadin.com/,,https://cdn.sanity.io/images/458oembh/production/5f35c3521f680cf141e7d2a18a7dbbd5568bdd80-1258x148.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
ArrowPoint Communications,Web traffic management and load balancing solutions,,,,,,1999,1999,,Acquired,by Cisco Systems,https://www.accel.com/companies/arrowpoint-communications,,,https://cdn.sanity.io/images/458oembh/production/73cb17cb00da56e3f0aabf569de8b43cb5a0a9ac-1566x606.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ascend.io,Intelligent data pipeline automation,Early Stage,Steve Loughlin,Sean Knapp,,Early Stage,2017,2017,series-a,,,https://www.accel.com/companies/ascend-io,http://www.ascend.io,https://twitter.com/ascend_io,https://cdn.sanity.io/images/458oembh/production/c42b2170d48b0b9864882dd766fa75b8833cc836-2111x455.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Assembly AI,API platform that transcribes audio data,Early Stage,Steve Loughlin,Dylan Fox,,Early Stage,2022,2022,series-a,,,https://www.accel.com/companies/assemblyai,https://www.assemblyai.com/,,https://cdn.sanity.io/images/458oembh/production/a6648c8fe036da2af5435c413508b0b7cf69619c-140x24.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Astral,Next-gen Python tooling,Early Stage,Casey Aylward,Charlie Marsh,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/astral,https://astral.sh/,https://twitter.com/astral_sh,https://cdn.sanity.io/images/458oembh/production/d0fa0ed58d19f5e146976bea134a11dc1ceb5be1-1725x269.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Astro,Online grocery delivery in Indonesia,Early Stage,Abhinav Chaturvedi,Marcella Moniaga; Sherlyn G; Vincent Tjendra; Wandi Budianto; Jessica Jap,,Early Stage,2022,2022,series-a,,,https://www.accel.com/companies/astro,https://www.astronauts.id/,,https://cdn.sanity.io/images/458oembh/production/8f446322bc8eb32501d355c955c4dd7c4281ca76-1164x227.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Atlas,AI-enabled tools and systems for accounting firms,,Anagh Prasad,Arpit Maheshwari; Jagmal Singh,,,,,,,,https://www.accel.com/companies/atlas,https://theatlas.ai/,,https://cdn.sanity.io/images/458oembh/production/a1985c5a5306df1a4bc5cfd910f138d6816310f9-1920x1080.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Atlassian,"Collaboration, development, and issue tracking software for teams",Early Stage,Rich Wong,Scott Farquhar; Mike Cannon-Brookes,,Early Stage,2010,2010,series-a,IPO,NASDAQ: TEAM,https://www.accel.com/companies/atlassian,http://www.atlassian.com,https://twitter.com/atlassian,https://cdn.sanity.io/images/458oembh/production/4c616aa3dbfe1f7091afed9e56a042a012053fa8-532x66.svg,https://cdn.sanity.io/images/458oembh/production/d0dbc72d4e672428f59a67251b42123bffcaa964-720x719.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Atrato,"Buy now, pay later solution for merchants in Mexico",Early Stage,Daniel Levine,Juan Pedro Casian Porter; Alejandro Chávez,,Early Stage,2021,2021,seed,,,https://www.accel.com/companies/atrato,https://www.atratopago.com/,,https://cdn.sanity.io/images/458oembh/production/8fb7890a440c6ff943a2dba1e53b292b53828e96-1116x226.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
August AI,AI health companion to support patients between doctor visits,Early Stage,Subrata Mitra; Anagh Prasad,Anuruddh Mishra,,Early Stage,2025,2025,seed,,,https://www.accel.com/companies/august-ai,https://www.meetaugust.ai/,,https://cdn.sanity.io/images/458oembh/production/4603780a4c5af60408894694eeb97fed03f17791-5256x1920.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Aura,Personal privacy and security solutions for consumers and small businesses,Early Stage,Sameer Gandhi,Hari Ravichandran (CEO),,Early Stage,2018,2018,series-a,,,https://www.accel.com/companies/aura,https://aura.com/,https://aura.com,https://cdn.sanity.io/images/458oembh/production/87dc1c10cb88a933cceeb1fef94067612822568b-950x315.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Avenue,Observability and incident response for ops teams,Early Stage,Amit Kumar,Justin Bleuel; Jeff Barg,,Early Stage,2021,2021,seed,,,https://www.accel.com/companies/avenue,http://www.useavenue.com/,,https://cdn.sanity.io/images/458oembh/production/5542e9758a1b75141d6fc172078f22b96d2e11f5-747x171.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Avito,Online platform for free classified advertisements in Russia,Early Stage,Sonali De Rycker,Jonas Nordlander; Filip Engelbert,,Early Stage,2012,2012,,Acquired,by Naspers,https://www.accel.com/companies/avito,http://www.avito.ru,,https://cdn.sanity.io/images/458oembh/production/d8d3c19dadc90a0a2335dce3f0832ee33924f190-586x166.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Away,Travel and lifestyle brand offering high-quality luggage,Early Stage,Andrew Braccia,Jennifer Rubio; Steph Korey,,Early Stage,2015,2015,seed,,,https://www.accel.com/companies/away,http://www.awaytravel.com,https://twitter.com/away,https://cdn.sanity.io/images/458oembh/production/34be46be593288a65442dce8c2fec6d2fd17b08c-600x204.svg,https://cdn.sanity.io/images/458oembh/production/0dc7aca1be2298dcf305027b1eba629ab8a1158d-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Axio,Medtech R&D and manufacturing company,Early Stage,Barath Shankar Subramanian,Leo Mavely,,Early Stage,2015,2015,seed,,,https://www.accel.com/companies/axio,http://www.axiobio.com,https://twitter.com/axiobio,https://cdn.sanity.io/images/458oembh/production/95264a3394768422947dd842c8d1c4614832ae1e-342x81.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Axle Energy,Flexible energy platform connecting home energy assets with flexible energy market,,Zhenya Loginov,Karl Bach; Archy de Berker,,,,,,,,https://www.accel.com/companies/axle-energy,https://www.axle.energy/,,https://cdn.sanity.io/images/458oembh/production/704f239a0a803e08563824787a570814c54ef9fc-1204x440.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Axonius,Cybersecurity asset and SaaS management,Late Stage,Matt Weigand,Dean Sysman; Ofri Shur; Avidor Bartov,,Late Stage,2022,2022,,,,https://www.accel.com/companies/axonius,https://www.axonius.com/,,https://cdn.sanity.io/images/458oembh/production/26f793e775532917ff8cf0b503d1c75ba68ff869-1126x225.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
BBN Technologies,"Research and development in defense, networking, and speech recognition technologies",Early Stage,,,,Early Stage,2004,2004,series-a,Acquired,by Raytheon,https://www.accel.com/companies/bbn-technologies,http://www.bbn.com,,https://cdn.sanity.io/images/458oembh/production/465d333399e750e365d3fbb101bc89d5fe42db8f-1619x1215.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
BRND.ME,Acquires and grows D2C brands,Early Stage,Subrata Mitra,Ananth Narayanan,,Early Stage,2021,2021,seed,,,https://www.accel.com/companies/brnd-me,https://mensabrands.com/#home,,https://cdn.sanity.io/images/458oembh/production/60de4169423892d4a4ceec22ad3f095b5cfb3922-1800x1108.png,https://cdn.sanity.io/images/458oembh/production/334c004b461990b6262a873184d3c77194c8f9a0-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Bachatt,Daily savings app,Early Stage,Pratik Agarwal,Anugrah Jain; Ankur Jhavery; Mayank Agarwal,,Early Stage,2026,2026,seed,,,https://www.accel.com/companies/bachatt,https://www.bachatt.app/,,https://cdn.sanity.io/images/458oembh/production/ea33348642c76d9dd2c5fbbb5449ac12fc764a69-5820x1412.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Basis,AI platform for end-to-end accounting automation,,Miles Clements,Matt Harpe; Mitchell Troyanovsky,,,2026,2026,,,,https://www.accel.com/companies/basis,https://www.getbasis.ai/,,https://cdn.sanity.io/images/458oembh/production/3fb92010eff007258bf1542c2af0738ad257a452-192x44.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
