company_name,description,founders,founder_titles,fund,location,announcement_text,announcement_urls,company_profile_url,company_url,why_we_invested_url,founder_image_urls,source_url,scraped_at
Nimbus Health,The future of pulmonology.,Clay Spence; Sharvil Patel,CEO; Head of Product,Seed,Bay Area,,,,https://www.nimbushealth.com/,https://www.2048.vc/blog/our-investment-in-nimbus-health,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68273a84f4a38fadd05b2e76_Nimbus%20Clay.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68273aabe3d41fe675f759d2_Nimbus%20Sharvil.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Rondah,AI receptionists for dental service organizations.,Burhan Syed; Mohammed Mian; Allan Svirsky,CEO; CTO; CPO,Pre-Seed,New York,,,,https://www.rondah.ai/,https://www.2048.vc/blog/our-investment-in-rondah-ai,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/67d061e261697a569574bf57_Rondah%20Burhan.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/67f6bb33a1ad0937056932c0_Rondah%20Mohammed.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/67f6bb386c55762b084154a8_Rondah%20Allan.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Cobalt ID,Business identity verification platform to tackle B2B fraud.,Priya Murali; Vaish Raman,Founder; CTO,Seed,New York,,,,https://www.cobaltid.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65f8a19fff66338734a6e7ab_CobaltID%20Priya.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/673b7e9eafb91f040f42f9e8_Cobalt%20Vaish%202.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Pageport,Apps for Financial Advisors.,Max Metcalf; Thomas Clawson,Co-Founder,Seed,Salt Lake City,,,,https://www.pageport.com/,https://www.2048.vc/blog/our-investment-in-pageport,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/64d10e9b03261fa7b7d7b8c9_Pageport%20Max.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/64d10eb6e26c81d1923fb75d_Pageport%20Thomas.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Supademo,Intuitive product demos and product guides.,Joseph Lee; Koushik Marka,CEO; CTO,Pre-Seed,New York,,,,https://supademo.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68912ec5d88e1ea31d559813_supademo.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/64cc18d7f7f22563239fba21_1608985174341.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Coding.Bio,Modular therapies engineered for immune activation.,Simon Bornschein; Yulia Lampi,CEO; CSO,Seed,London,,,,https://www.coding.bio/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/635c154f9d6195475a1a008f_coding%20bio%20Simon.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/635c156fe8299214f3f909e0_coding%20bio%20Yulia.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
InfraHub,Empowering smarter road infrastructure management with AI-driven insights.,Stefan Johanson; Naim Kabir,CEO; CTO,Seed,Bay Area,,,,https://infrahub.ai,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/697cc8af651621cb691f157b_InfraHub%20Stefan.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/697cc896e5237902ef1e8f2c_InfraHub%20Kabir.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
ConverseNow,Voice AI platform for restaurants.,Vinay Shukla; Rahul Aggarwal,CEO; CTO,Series A,Austin,ConverseNow raises $15 million Series A led by Craft Ventures,https://techcrunch.com/2021/07/29/conversenow-is-targeting-restaurant-drive-thrus-with-new-15m-round/,,https://www.conversenow.ai,https://2048-ventures-7465.webflow.io/blog/our-investment-in-conversenow,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee33cf7ff96669cc12ad9_f86ff0a3.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee33cf7ff9669d4c12ada_33d18a7a.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Soona,"All-in-one platform to make, manage, and optimize content for ecommerce.",Liz Giorgi; Hayley Anderson,Co-Founder and CEO; Co-Founder and CCO,Series B,Denver,Soona raises $35 million Series B led by Bain Capital Ventures,https://techcrunch.com/2022/01/24/soona-a-virtual-photo-shoot-platform-for-e-commerce-raises-35-million-series-b/,,https://www.soona.co,https://www.2048.vc/blog/our-investment-in-soona,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedf83a8a2fe81ee7b5cc8_6780862b.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedf83a8a2feeeec7b5cc9_9ce79e93.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Vitally,Customer success platform for B2B software companies.,Jamie Davidson; Patrick Vatterott,CEO; CTO,Series B,New York,Vitally raises $30 million Series B led by Next47,https://techcrunch.com/2023/02/22/showing-customer-success-platforms-havent-lost-steam-vitally-secures-30m/?tpcc=tcplustwitter,,https://www.vitally.io,https://2048-ventures-7465.webflow.io/blog/our-investment-in-vitally,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4bbc60f474682f0e4a5_43a847f4.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4bbc60f477fadf0e4a6_7aaddef2.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Wirestock,Management & distribution platform for creators' digital content.,Mikayel Khachatryan; Vladimir Khoetsyan; Ashot Mnatsakanyan,CEO; CTO; CPO,Series A,New York,,,,https://wirestock.io/,https://www.2048.vc/blog/our-investment-in-wirestock,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b2e6acc18071e801a5_7054eb75.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b2e6acc10406e801a7_49270b3e.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b2e6acc1e990e801a6_a425f185.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Flyp,Marketplace connecting re-selling platforms with people who want to sell their stuff.,James Kawas; Dani Arnaout,CEO; CTO,Series A,Bay Area,Flyp raises $10 million Series A led by Asymmetric Capital Partners,https://techcrunch.com/2022/05/03/flyp-wants-to-give-power-resellers-enterprise-grade-ecommerce-tooling/,,https://www.joinflyp.com/,https://www.2048.vc/blog/our-investment-in-flyp,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b554e30b05956e7442_60efc4ec.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b554e30bf3bb6e7441_c095aedc.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Lendflow,Embedded lending services for B2B companies.,Jon Fry; Matthew Watts,CEO; CTO,Series A,Austin,Lendflow raises $10.8 million Series A led by Underscore VC,"https://www.prnewswire.com/news-releases/lendflow-closes-10-8-million-series-a-financing-to-turn-any-company-into-a-fintech-301398795.html#:~:text=In%2DLanguage%20News-,Lendflow%20Closes%20%2410.8%20Million%20Series%20A%20Financing,Any%20Company%20into%20a%20Fintech",,https://www.lendflow.io,https://2048-ventures-7465.webflow.io/blog/underscore-vc-leads-lendflow-series-a,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4bcd6a0ef097c9a9647_ab6daa38.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4bcd6a0ef1e4a9a9646_9375e216.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Eli Health,At-home saliva-based hormone monitoring.,Marina Pavlovic Rivas; Thomas Cortina,CEO; CTO,Series A,Montreal,Eli Health raises $12 million Series A led by BDC Capital ‍,https://www.axios.com/pro/all-deals/2025/06/10/eli-health-raises-12m-hormone-tracking,,https://www.eli.health,https://2048-ventures-7465.webflow.io/blog/our-investment-in-eli,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee467973df9169abc4492_b3d739a4.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee467973df9b0d1bc4493_8ca8cb25.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Arrow,Platform for healthcare payments.,Roshan Patel; Yash Joshi; Abel Chan,CEO; CTO; COO,Series A,New York,Arrow raises $110 million Series A led by Gradient Ventures,https://techcrunch.com/2022/05/05/walnut-buy-now-pay-later-health-series-a/,,https://arrowhq.com/,https://2048-ventures-7465.webflow.io/blog/our-investment-in-walnut,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b756c3dc587c7a58a7_5cbda015.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b656c3dc02307a58a5_54b754ee.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b656c3dc42227a58a6_61858a5e.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Aviary Health,"Virtual cardiac rehab, care management and navigation services.",Abhi Chandra; Vivek Vishwanath; Dr. Ed Wu,CEO; Chief Growth Officer; Chief Medical Officer,Series A,New York,Recora raises $20 million Series A led by SignalFire,https://www.globenewswire.com/news-release/2022/03/21/2406753/0/en/Recora-Announces-20M-in-Series-A-Funding-and-Unveils-Cardiac-Recovery-Program-for-Health-Systems-Medical-Groups-and-Health-Plans.html,,https://www.aviaryhealth.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedf8211221d3f1d9f97a4_1a89e632.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedf8211221d2eb69f97a3_c9199f4f.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedf8211221d44b69f97a5_2a5e934a.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Acorn Finance,Simple POS financing tool for contractors (and manufacturers) to offer their homeowner customers.,Giri Addanki,CEO,Series A,Bay Area,Acorn Finance raises $8.4 million Series A led by MassMutal Ventures,https://www.acornfinance.com/series-a-funding/,,https://www.acornfinance.com,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b4fefb512f539666b8_cbc13695.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Pathspot,Platform for detecting food-borne illnesses for hospitality industry.,Christine Schindler; Dutch Waanders,CEO; CTO,Series A,New York,Pathspot raises $6.5 million Series A led by Valor Siren Ventures,"https://www.finsmes.com/2020/05/pathspot-closes-6-5m-series-a-funding.html#:~:text=PathSpot%2C%20a%20NYC%2Dbased%20creator,m%20Series%20A%20funding%20round.",,https://pathspot.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c38d91a06bed0a8516fe_PathSpot%20Christine.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c3a0cdbb56f159bea61c_Dutch%20Waanders.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Persist AI,Drug formulation development and manufacturing using automation and AI.,Karthik Raman; Chris Shelner,CEO; COO,Series A,Bay Area,Persist AI raises $12 million Series A led by Spero Ventures,https://www.prnewswire.com/news-releases/persist-ai-launches-cloud-lab-to-accelerate-pharmaceutical-formulation-development-raises-12m-series-a-funding-302458476.html?tc=eml_cleartime,,https://www.persist-ai.com/,https://www.2048.vc/blog/our-investment-in-persist-ai,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/643823a384dc2d8f3156a33b_Persist%20Karthik.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/643823ce31946862e5a4ef00_Persist%20Chris.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Aclid,The security and safety API layer for synthetic biology.,Kevin Flyangolts,CEO,Seed,New York,Aclid raises $3.3 million Seed led by 2048 Ventures and IA Ventures ‍,"https://www.prnewswire.com/news-releases/aclid-closes-oversubscribed-3-3-million-seed-funding-round-to-advance-biosecurity-and-compliance-301952847.html#:~:text=NEW%20YORK%2C%20Oct.%2012%2C,time%20screening%20and%20verification%20platform.",,https://www.aclid.bio,https://www.2048.vc/blog/our-investment-in-aclid,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed5387eeac377f03520ba_9bb84d0d.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Propensity,Account-based marketing platform for B2B growth teams.,Sumner Vanderhoof; Carla Vanderhoof,CEO; CCO,Seed+,Boston,,,,https://www.propensity.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aede52e94858b9fa56517b_c9219ecf.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aede52e948586e9c56517a_03bf97c4.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Citrus Labs,"Digital CRO for CPG, Cosmetics, and Biotech.",Susanne Mitschke; Patrick Renner; Rogelio Arellano,CEO; COO; CTO,Seed+,Los Angeles,,,,https://www.citruslabs.com,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b7d211ad40841296b9_1e3788fc.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b7d211ad18901296b8_f79c0265.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b7d211ad34191296ba_c07311ba.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Humane Genomics,Synthetic oncolytic virus platform for personalized cancer treatment.,Peter Weijmarshausen; Chad Moles; Andrew Hessel,CEO; CSO; President,Seed,New York,Humane Genomics raises $4 million Seed led by Union Square Ventures,https://blog.usv.com/humane-genomics,,https://www.humanegenomics.com,https://2048-ventures-7465.webflow.io/blog/our-investment-in-humane-genomics,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b876226156e2d767cf_60e97d82.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b87622615438d767d0_f7dc2db2.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4b8762261649cd767d1_4fa05d90.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Ribbit,Autonomous aviation technology.,Carl Pigeon; Jeremy Wang,CEO; CTO,Pre-Seed,Toronto,,,,https://www.flyribbit.com,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed68e56c3dc29e67af8ae_26b4f222.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed68e56c3dc27a07af8af_2959720e.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Ten Little,"Data driven, personalized Kids’ shoes brand.",Fatma Collins; Julie Rogers,CEO; COO,Seed+,New York,,,,https://tenlittle.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedcb9830c2e66780759bf_bcd4262c.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedcb9830c2e328f0759c0_027fb6e8.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Pocket,AI Front Office Platform for Rehab Therapy,Hannah Kim; Ben Quachtran,CEO & Co-Founder; Co-Founder,Pre-Seed,New York,,,,https://letspocket.com/,https://www.2048.vc/blog/our-investment-in-pocket,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69a9f80aed6b2d431e8f6516_HK.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69a9f823748ba411e9a4d8b6_Ben.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Enurgen,The operating system for solar energy system operators.,Kibby Pollak; Chris Valdivia,CEO; CTO,Seed,Ottawa,"Enurgen raises $4.1 million Seed co-led by BDC, Brightspark, and Diagram ‍",https://www.businesswire.com/news/home/20251008064002/en/Enurgen-Closes-%244.1M-USD-Seed-to-Accelerate-Global-Growth-of-Solar-Performance-Software,,https://www.enurgen.com/,https://www.2048.vc/blog/our-investment-in-enurgen,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68912e771200eef1e49c7fc4_kibby.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/63e14237907785ed719745d1_CValdivia.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Stratagen Bio,MRI-based tools for quantitative biomarker assessment.,Greg Ekchian,CEO,Pre-Seed,Boston,,,,https://stratagenbio.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/63f50f41cc5c1b71d4e5b9ac_Stratagen%20Greg.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Wareclouds,Fulfillment and last-mile-delivery for e-commerce.,Arturo Quiroz; Nicolás Aramayo Benvenutto,CEO; Co-Founder,Seed,Latam,Wareclouds raises $2 million Seed led by 2048 Ventures,https://contxto.com/brazil/wareclouds-investment-round-usd-2-million-expansion-brazil-mexico/,,https://www.wareclouds.com/,https://www.2048.vc/blog/our-investment-in-wareclouds,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6515c2ea078d134e72f1035e_Wareclouds%20Arturo.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6515c348d5ca1c1ddb98fc05_Wareclouds%20Nicolas.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Psyrin,Streamlined mental heathcare operations through AI.,Edwin Wong; Julianna Oláh; Raheem Chaudhry,CEO; CTO; Co-Founder,Pre-Seed,Bay Area,,,,https://psyrin.co.uk/,https://www.2048.vc/blog/our-investment-in-psyrin,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/659868fae51a5f45c03eebe0_Psyrin%20Edwin.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6598690f1604610dbbf3f6b6_Psyrin%20Julianna.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/659869202b276e96810e7eca_Psyrin%20Raheem.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Century Health,AI-powered real-world evidence for accelerated treatments.,Vish Srivastava; Sanjay Hariharan,CEO; CTO,Pre-Seed,New York,,,,https://century.health/,https://www.2048.vc/blog/our-investment-in-century-health,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65cbe0570452856339f695de_Century%20Vish.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65cbe074422449ca4d62b1f6_Century%20Sanjay.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Aslan Protects,AI agents that avert the next mass shooting before it happens.,Chase Reid; Ansel Tessier,CEO; CTO,Pre-Seed,Washington DC,,,,https://aslanprotects.com/,https://www.2048.vc/blog/our-investment-in-aslan-protects,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/682e12daba596ddedff0cf7a_Aslan%20Chase.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/682e12fa252f59c4b0e1c6ea_Aslan%20Ansel.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Colla Health,"Empowering oncology practices with embedded, collaborative mental health care.",Milan Thakor; Beau Palin,CEO; COO,Seed,Houston,,,,https://www.collahealth.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/683779b518abdb7d2ea5c054_Colla%20Milan.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/683779e5932ab98ab024a4f2_Colla%20Beau.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Kascaid,Kascaid is developing biosensors for real-time monitoring of inflammatory biomarkers.,Kavya Swaminathan; Scott Ferguson; Austin Hall,CEO; CSO; CPO,Pre-Seed,Bay Area,,,,https://kascaid.bio/,https://www.2048.vc/blog/our-investment-in-kascaid,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6863f463bb312b2cf4a60d2f_Kascaid%20Kavya.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6863f49bd37c8f2f5345f65c_Kascaid%20Scott.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6863f4b01ba761fb23764335_Kascaid%20Austin.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Romix Biosciences,Accelerating drug development with an AI-enabled full body molecular scan of inflammation.,Conor Loy; David McKellar,CEO; CTO,Pre-Seed,New York,,,,https://romixbio.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6894e1dcacc9cb6f986323cd_Romix%20Conor.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6894e20947041ee58a02775b_Romix%20David.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Spruce Systems,Ground truth intelligence for landscapers.,Max Makeev; Mark Schnittman; Matt Fitzgerald,CEO; CTO; CPO,Pre-Seed,Boston,,,,https://www.sprucesystems.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/689f4a09f521c085fa528b3d_Spruce%20Max.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/689f4a209fedf0f833fffa84_Spruce%20Mark.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/689f4a2e4045f00620fe22aa_Spruce%20Matt.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
VO Health,VO Health is a precision health company developing next-generation biomarkers of healthspan and performance.,Brooks Leitner; Alina Zolotareva,CEO; COO,Pre-Seed,New York,,,,https://vohealth.co/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69174fb310314705fa3ae4e6_VO%20Health%20Brooks.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69174fcc42871b39d479d3cc_VO%20Health%20Alina.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
