company_name,description,sectors,location,afore_stage,current_stage,follow_on_investors,company_profile_url,company_url,logo_url,image_url,source_url,scraped_at
Bulkmro,"Marketplace for Maintenance, Repair & Operations Products in emerging markets.",SaaS,India,AFORE PRE-SEED,,ACE; Bain Capital,,https://bulkmro.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Bulletin,Building brick and mortar stores for digital brands.,Marketplace,NYC,AFORE PRE-SEED,,Foundation Capital,,https://bulletin.co/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Candor,"Candor is the tool for remote managers to track wins, feedback, and more, all in one place.",Consumer,Remote,AFORE PRE-SEED,,Contrary,,https://www.joincandor.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Channelape,Enterprise SaaS solution that combines a global fulfillment network with flexible FMS software to give enterprise D2C businesses the visibility and control they need.,SaaS,NYC,AFORE PRE-SEED,,Brand Foundry,,https://www.channelape.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
CivilGrid,Construction intelligence platform combining layers of utility.,SaaS,Bay Area,AFORE PRE-SEED,,A*,,https://www.civilgrid.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
ConverzAI,"Harness the power of AI to help businesses scale, with near human engagement.",AI,Seattle,AFORE PRE-SEED,,Foundation Capital; Menlo Ventures,,https://www.converzai.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Dash,AI agent for your daily tasks.,AI,Bay Area,AFORE PRE-SEED,,Y Combinator,,https://www.usedash.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Datacurve,Premium curated coding data for applications and LLMs.,AI,Bay Area,AFORE PRE-SEED,,,,https://datacurve.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Daylight Health,Delivering insurance-covered mental health services through primary care.,Healthcare,NYC,AFORE PRE-SEED,,,,https://www.daylight-health.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Develop Health,Automated medication prior authorization.,AI,Bay Area,AFORE PRE-SEED,,,,https://develophealth.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Drafted,Company networks are underutilized for hiring.,SaaS,Boston,AFORE PRE-SEED,,,,https://www.instawork.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Fabric,AI-native workspace and file explorer for your digital world.,AI,Europe,AFORE PRE-SEED,,,,https://fabric.so/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Factor,Global Supply Unchained.,AI,Boston,AFORE PRE-SEED,,Gradient Ventures,,https://www.factor.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Flatfile,Making customer spreadsheets accessible to software products with a turnkey data importer.,SaaS,Denver,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/flatfile,https://www.flatfile.io/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd70973199f1f_Mask%20group-1.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd7cc8d199f23_mike-kononov-lFv0V3_2H6s-unsplash.jpg,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Fleetpanda,Managed marketplace for fleet services.,SaaS,Bay Area,AFORE PRE-SEED,,Mucker,,https://www.fleetpanda.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Flint,"Personalized learning, built for schools",Consumer,NYC,AFORE PRE-SEED,,Y Combinator,,https://flintk12.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Florida St.,Decentralized P2P NFT lending platform with instant refinancing.,Web3,Remote,AFORE PRE-SEED,,Foundation Capital,,https://www.floridastreet.xyz/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
FLYP,Empowering the secondhand gig economy turning stuff into cash.,Marketplace,Bay Area,AFORE PRE-SEED,,Asymmetric Ventures,,https://www.joinflyp.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Gamma,Build beautiful presentations with generative AI.,AI,Bay Area,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/gamma-ws188,http://gamma.app/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/67c8cf31a62578af0a3a9e24_gamma%20logo.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/67c8cfbaca6f06f91a71e372_gamma%20resized.png,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Gamma Networks,Federated Data Access Management Platform.,Security,Bay Area,AFORE PRE-SEED,,,,https://gammanet.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Glyf,AI tools for motion graphics.,AI,Bay Area,AFORE PRE-SEED,,Andreesen Horowitz,,https://glyf.space/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Goldcast,AI-first video content platform used by 400+ B2B brands to scale their video strategy.,AI,Boston,AFORE PRE-SEED,,Unusual Ventures; Westbridge,,https://goldcast.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Hardfin,Embedded fintech platform for equipment manufacturers to offer white-labeled subscription solutions to their customers.,FinTech,Remote,AFORE PRE-SEED,,Better Tomorrow Ventures,,https://www.hardfin.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Healthnote,Automating patient data collection and provider documentation.,SaaS,Bay Area,AFORE PRE-SEED,,Rainfall Ventures; Signal Fire,,https://www.healthnote.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Herald,Digital infrastructure for commercial insurance.,Insurtech,Boston,AFORE PRE-SEED,,Lightspeed; Brewer Lane Ventures; Underscore VC,,https://www.heraldapi.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
HeySam,Virtual sales engineer powered by AI.,AI,Bay Area,AFORE PRE-SEED,,,,https://heysam.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Highlight,"Highlight helps businesses understand their users, with clarity.",SaaS,Bay Area,AFORE PRE-SEED,,Craft Ventures,,https://www.highlight.run/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Highnote,Discuss and collaborate on any audio file.,Consumer,NYC,AFORE PRE-SEED,,BKXL,,https://www.highnote.fm/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Hightouch,Hightouch helps businesses sync their customer data across sales and marketing tools.,AI,Bay Area,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/hightouch,https://hightouch.io/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd705e5199f22_Mask%20group-2.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd70517199f21_markus-spiske-hvSr_CVecVI-unsplash.jpg,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Honeybee,World's first PTO loan.,FinTech,LA,AFORE PRE-SEED,,ffVC,,https://meethoneybee.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Honeycomb,Observability for a distributed world.,SaaS,Bay Area,AFORE PRE-SEED,,Accel; Scale Venture Partners; Headline; Insight Venture Partner,,https://honeycomb.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Housable,The home construction marketplace that automates design.,SaaS,Bay Area,AFORE PRE-SEED,,,,https://housable.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Inngest,The best code-automation platform for event-driven systems.,Dev Tools,Bay Area,AFORE PRE-SEED,,Notable; Andreesen Horowitz,,https://inngest.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Iterative.ai,Open platform to operationalize AI,B2B,Bay Area,AFORE PRE-SEED,,True Ventures; 468 Ventures,,http://Iterative.ai,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Jabu,B2B last-mile distribution marketplace for the informal economy in Southern Africa.,Marketplace,Africa,AFORE PRE-SEED,,Tiger Global,,https://gojabu.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Jetson,Building the first fully vertically integrated home electrification company.,Hardware,Canada,AFORE PRE-SEED,,,,https://jetsonhome.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Kairos,Turn repetitive tasks into automated workflows.,AI,Bay Area,AFORE PRE-SEED,,,,https://www.kairos.computer/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Keragon,Automation platform for healthcare.,AI,NYC,AFORE PRE-SEED,,Upfront,,https://www.keragon.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Knock,Knock is an API and low-code rule builder that manages in-app and out-of-app notifications for engineering and product teams.,Dev Tools,NYC,AFORE PRE-SEED,,Worklife VC; Craft Ventures,,https://knock.app/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Koala,Koala is the SDK for Growth. We help growth engineers and demand gen leaders turn visitors on their marketing site into customers.,Dev Tools,Bay Area,AFORE PRE-SEED,,CRV,,https://home.koala.live/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Kroo,Modern data management platform for the construction industry.,AI,Bay Area,AFORE PRE-SEED,,Suffolk Technologies,,https://www.getkroo.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Kubecost,Real-time cost visibility for teams using Kubernetes.,Dev Tools,Bay Area,AFORE PRE-SEED,,First Round; Coatue,,https://www.kubecost.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Loop,Fully automated delivery intelligence platform for modern food brands,AI,Bay Area,AFORE PRE-SEED,,Base10 Ventures; Nyca,,https://www.tryloop.ai/?ref=afore,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Ludio,One-stop shop for playing social deduction games over video chat in the browser.,Gaming,Bay Area,AFORE PRE-SEED,,,,https://try.ludio.gg/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Mayhem,Platform for Gaming Communities.,Gaming,Bay Area,AFORE PRE-SEED,,Accel,,https://mayhem.gg/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Memo,Your notes and team wiki in one place.,SaaS,Bay Area,AFORE PRE-SEED,,,,https://memo.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Mesh,"Instant, on-demand and scalable verification of professionals to power your business.",API,Seattle,AFORE PRE-SEED,,Greycroft,,https://www.mesh.id/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Modern Health,Emotional well-being benefits platform for employers.,SaaS,Bay Area,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/modern-health,https://www.joinmodernhealth.com/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd75bde199f18_Mask%20group-3.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd7720b199f17_Frame%20260.png,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Neo Financial,"Next-generation banking with spending, savings, and rewards built for Canadians.",FinTech,Canada,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/neo-financial,https://www.neofinancial.com/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd78072199f40_Neo.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd71098199f24_59240702-0-earn-an-average-of-4.png,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
New Lantern,The Radiology + AI cloud for healthcare.,SaaS,Bay Area,AFORE PRE-SEED,,Neo; Benchmark,,https://newlantern.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Newme,Next generation fashion marketplace for India.,Consumer,India,AFORE PRE-SEED,,Accel; Fireside,,https://newme.asia,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
ONYX,Lifelike fitness instructors and classes for everyone.,Consumer,Bay Area,AFORE PRE-SEED,,,,https://onyx.fit/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Openmart,"An AI alternative to Zoominfo. #1 most comprehensive and up-to-date local businesses data across the world, powered by AI.",SaaS,Bay Area,AFORE PRE-SEED,,Y Combinator,,https://openmart.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Opennote,The AI tutor that lives in your notes.,AI,Bay Area,AFORE PRE-SEED,,Y Combinator,,https://www.opennote.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Osana Salud,Osana is building the API-connected infrastructure for the healthcare industry in LATAM.,Healthcare,Latam,AFORE PRE-SEED,,General Catalyst; Quiet Ventures,,https://www.osanasalud.com/en/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Overtime,This generation's sports network.,Consumer,NYC,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/overtime,https://itsovertime.com/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd7a827199f1b_Mask%20group-6.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/68222db4ffe904bd8701aba9_overtime.png,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Palette,"Web performance, made easy.",Dev Tools,Bay Area,AFORE PRE-SEED,,,,https://palette.dev/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Paperplane,Generate reports from your video calls in a few clicks.,SaaS,NYC,AFORE PRE-SEED,,1984,,https://www.paperplane.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Petal Card,"Credit that's honest, simple, and accessible.",FinTech,NYC,AFORE PRE-SEED,,Valar,,https://www.petalcard.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Pinch,Build credit through your rent.,FinTech,Bay Area,AFORE PRE-SEED,,,,https://pinchrent.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Pluto Health,Smart health assistant that bridges siloed health data.,Healthcare,LA,AFORE PRE-SEED,,Animo,,https://www.pluto.health/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Podqi,"Monitoring, takedown, and retroactive compensation. One automated platform for IP protection.",AI,Bay Area,AFORE PRE-SEED,,General Catalyst; Soma Capital,,https://www.podqi.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Prism Data,Leverage cash flow underwriting to better predict credit default risk and protect against fraud.,FinTech,NYC,AFORE PRE-SEED,,Obvious Ventures,,https://www.prismdata.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
PromptArmor,Security and compliance for AI agents and applications.,Security,Bay Area,AFORE PRE-SEED,,Liquid 2; Y Combinator,,https://promptarmor.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Pulse Protocol,A secure marketplace for medical travelers.,Healthcare,LA,AFORE PRE-SEED,,Streetedge Capital,,https://www.pulseprotocol.com/patients,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Radix Health,Unlocking critical insights for healthcare services operators and investors.,Healthcare,LA,AFORE PRE-SEED,,,,https://www.radixhealth.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Retain,Understanding time and cost of customer interactions across roles and tools.,SaaS,Bay Area,AFORE PRE-SEED,,Emergence Capital,,https://www.retain.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Rosie,Never miss another call: AI answering service.,Consumer,Portland,AFORE PRE-SEED,,Felix; March Capital,,https://heyrosie.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Seel,Seel enables any business to create and distribute relevant coverage plans to their customers.,Insurtech,Bay Area,AFORE PRE-SEED,,Foundation Capital; Lightspeed,,https://www.seel.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Shortwave,Actually enjoy your inbox with a reinvented experience for email.,AI,Bay Area,AFORE PRE-SEED,,Lightspeed; Union Venture Square,,https://www.shortwave.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Sinai,"Enterprise software that helps to define a price on carbon emissions, manage carbon taxes and reduce emissions while having financial returns.",SaaS,Bay Area,AFORE PRE-SEED,,Obvious Ventures; Energize Capital,,https://www.sinaitechnologies.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Smile API,"A unified API for employment, income, and financial data in Asia.",B2B,Southeast Asia,AFORE PRE-SEED,,,,https://www.getsmileapi.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Stag,Company brain for institutional real estate.,,,AFORE PRE-SEED,,,,https://www.usestag.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Stream,Where creators become entrepreneurs.,Marketplace,Bay Area,AFORE PRE-SEED,,,,https://stream.club/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Stress-Free,Managed marketplace for automotive services.,Consumer,Bay Area,AFORE PRE-SEED,,Index; Forerunner,,https://www.stressfree.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Swept,"Helping office cleaning companies attract, manage and retain cleaning professionals.",SaaS,Canada,AFORE PRE-SEED,,,,https://www.sweptworks.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
TakeTwo,"A creative, pro-grade partner for filmmakers",AI,Bay Area,AFORE PRE-SEED,,,,https://www.trytaketwo.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Terminal 49,Hassle free container trucking.,SaaS,Bay Area,AFORE PRE-SEED,,Stage 2 Capital; Initialized,,https://www.terminal49.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
The New Club,Members-only network for women in engineering.,B2B,Bay Area,AFORE PRE-SEED,,,,https://www.thenewclub.fyi/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Thoughtly,"Build your AI call center in minutes, without code.",AI,NYC,AFORE PRE-SEED,,Greycroft,,https://thoughtly.net/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Till Financial,Helping parents raise kids that are smarter about money.,FinTech,NYC,AFORE PRE-SEED,,E Park,,https://tillfinancial.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Ultrarev,Intentomatic surfaces buyer intent to Sales teams.,SaaS,Bay Area,AFORE PRE-SEED,,,,https://intentomatic.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Unipe,Payroll-backed credit for the Indian workforce.,FinTech,India,AFORE PRE-SEED,,,,https://www.unipe.money/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
UserEvidence,"UserEvidence helps B2B companies unlock customer love at scale. Enabling them to bring credible evidence, data, and customer stories to the center of their pitch.",SaaS,Remote,AFORE PRE-SEED,,Crosslink Capital,,https://www.userevidence.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
VibeCode,The app that builds mobile apps,AI,Bay Area,AFORE PRE-SEED,,Seven Seven Six; Long Journey; Neo,,https://www.vibecodeapp.com/?utm_souce=aforevc,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Vibely,Vibely powers next-gen communities led by creators.,Consumer,Bay Area,AFORE PRE-SEED,,,,https://vibely.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Winnie,Inspiration & insight for modern parents.,Marketplace,Bay Area,AFORE PRE-SEED,,Reach Capital; Unusual Ventures; Rethink Impact,,https://winnie.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Yaysay,Unlocking exclusive discounts to top fashion brands.,Consumer,Bay Area,AFORE PRE-SEED,,Lightspeed,,https://www.shopyaysay.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Zuul Kitchen,A place for virtual restaurants to call home.,B2B,NYC,AFORE PRE-SEED,,,,https://zuulkitchens.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
